,carType,year
1131,ICE,2016
1132,ICE,2016
1133,ICE,2016
1134,ICE,2016
1135,ICE,2016
1136,ICE,2016
1137,ICE,2016
1138,ICE,2016
1139,ICE,2016
1140,ICE,2016
1141,EV,2017
1142,ICE,2017
1143,ICE,2017
1144,ICE,2017
1145,ICE,2017
1146,ICE,2017
1147,ICE,2017
1148,ICE,2017
1149,ICE,2017
1150,ICE,2017
1151,ICE,2017
1152,EV,2017
1153,ICE,2017
1154,ICE,2017
1155,ICE,2017
1156,ICE,2017
1157,ICE,2017
1158,ICE,2017
1159,ICE,2017
1160,ICE,2017
1161,ICE,2018
1162,ICE,2018
1163,ICE,2018
1164,ICE,2018
1165,ICE,2018
1166,ICE,2018
1167,ICE,2018
1168,ICE,2018
1169,ICE,2018
1170,ICE,2018
1171,ICE,2018
1172,ICE,2018
1173,ICE,2018
1174,ICE,2018
1175,ICE,2018
1176,ICE,2018
1177,ICE,2018
1178,ICE,2018
1179,ICE,2018
1180,ICE,2018
1181,ICE,2019
1182,ICE,2019
1183,ICE,2019
1184,ICE,2019
1185,ICE,2019
1186,ICE,2019
1187,EV,2019
1188,ICE,2019
1189,ICE,2019
1190,ICE,2019
1191,ICE,2019
1192,EV,2019
1193,ICE,2019
1194,ICE,2019
1195,EV,2019
1196,ICE,2019
1197,ICE,2019
1198,EV,2019
1199,ICE,2019
1200,ICE,2019
1201,ICE,2021
1202,EV,2021
1203,ICE,2021
1204,ICE,2021
1205,ICE,2021
1206,ICE,2021
1207,ICE,2021
1208,ICE,2021
1209,ICE,2021
1210,ICE,2021
1211,ICE,2021
1212,ICE,2021
1213,ICE,2021
1214,ICE,2021
1215,ICE,2021
1216,ICE,2021
1217,EV,2021
1218,ICE,2021
1219,EV,2021
1220,ICE,2021
1221,ICE,2011
1222,ICE,2011
1223,ICE,2011
1224,ICE,2011
1225,ICE,2011
1226,ICE,2011
1227,ICE,2011
1228,ICE,2011
1229,ICE,2011
1230,ICE,2011
1231,ICE,2011
1232,ICE,2011
1233,ICE,2011
1234,ICE,2011
1235,ICE,2011
1236,ICE,2011
1237,ICE,2011
1238,ICE,2011
1239,ICE,2011
1240,ICE,2011
1241,ICE,2012
1242,ICE,2012
1243,ICE,2012
1244,ICE,2012
1245,ICE,2012
1246,ICE,2012
1247,ICE,2012
1248,ICE,2012
1249,ICE,2012
1250,ICE,2012
1251,ICE,2012
1252,ICE,2012
1253,ICE,2012
1254,ICE,2012
1255,ICE,2012
1256,ICE,2012
1257,ICE,2012
1258,ICE,2012
1259,ICE,2012
1260,ICE,2012
1261,ICE,2013
1262,ICE,2013
1263,ICE,2013
1264,ICE,2013
1265,ICE,2013
1266,ICE,2013
1267,ICE,2013
1268,ICE,2013
1269,ICE,2013
1270,ICE,2013
1271,ICE,2013
1272,ICE,2013
1273,ICE,2013
1274,ICE,2013
1275,ICE,2013
1276,ICE,2013
1277,ICE,2013
1278,ICE,2013
1279,ICE,2013
1280,ICE,2013
1281,ICE,2014
1282,ICE,2014
1283,ICE,2014
1284,ICE,2014
1285,ICE,2014
1286,ICE,2014
1287,ICE,2014
1288,ICE,2014
1289,ICE,2014
1290,ICE,2014
1291,ICE,2014
1292,ICE,2014
1293,ICE,2014
1294,ICE,2014
1295,ICE,2014
1296,ICE,2014
