,year,carType
1466,2012,ICE
1467,2012,ICE
1468,2012,ICE
1469,2012,ICE
1470,2012,ICE
1471,2012,ICE
1472,2012,ICE
1473,2012,ICE
1474,2012,ICE
1475,2012,ICE
1476,2012,ICE
1477,2012,ICE
1478,2012,ICE
1479,2013,ICE
1480,2013,ICE
1481,2013,ICE
1482,2013,ICE
1483,2013,ICE
1484,2013,ICE
1485,2013,ICE
1486,2013,ICE
1487,2013,ICE
1488,2013,ICE
1489,2013,ICE
1490,2013,ICE
1491,2013,ICE
1492,2013,ICE
1493,2013,ICE
1494,2013,ICE
1495,2013,ICE
1496,2013,ICE
1497,2013,ICE
1498,2013,ICE
1499,2014,ICE
1500,2014,ICE
1501,2014,ICE
1502,2014,ICE
